Município;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago
150150 BENEVIDES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150157 BOM JESUS DO TOCANTINS;17;27;65;33;12;10;21;17;23;28;31;23;23;14;15;10;10;16;-;-
150160 BONITO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150170 BRAGANCA;107;114;195;212;130;133;117;138;150;153;92;131;164;198;175;172;138;120;116;106
150172 BRASIL NOVO;58;33;61;68;76;66;64;61;62;84;77;69;58;87;59;52;48;51;42;-
150175 BREJO GRANDE DO ARAGUAIA;25;11;11;12;19;18;19;16;15;16;20;25;12;6;18;4;8;5;-;-
150178 BREU BRANCO;40;24;17;7;13;41;10;5;7;9;11;4;2;3;7;8;9;8;-;-
150180 BREVES;92;69;91;112;100;85;55;60;66;58;72;47;44;56;32;43;52;47;50;6
150190 BUJARU;88;71;57;37;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150195 CACHOEIRA DO PIRIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150200 CACHOEIRA DO ARARI;8;4;19;20;24;11;16;2;-;6;1;1;2;1;3;21;11;-;-;-
150210 CAMETA;55;47;103;101;98;76;62;58;72;64;50;47;35;40;53;43;45;19;-;-
150215 CANAA DOS CARAJAS;38;25;104;84;89;73;32;24;12;5;15;25;24;21;10;14;15;3;7;-
150220 CAPANEMA;27;20;18;27;16;31;28;34;37;19;26;24;15;10;14;26;19;17;11;2
150230 CAPITAO POCO;48;50;56;34;56;53;76;53;50;55;50;60;63;51;53;46;36;45;43;-
150240 CASTANHAL;196;201;743;767;472;466;333;187;141;156;191;281;308;227;168;130;118;110;39;22
150250 CHAVES;3;3;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150260 COLARES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150270 CONCEICAO DO ARAGUAIA;58;54;107;60;36;45;49;63;94;71;104;122;90;65;60;42;51;43;70;38
150275 CONCORDIA DO PARA;12;7;14;25;27;24;18;13;4;11;5;6;5;6;2;4;4;7;7;8
150276 CUMARU DO NORTE;13;16;17;10;27;29;21;19;13;8;17;16;10;22;4;5;10;4;7;12
